wikipedia.org,208.80.154.224
live.com,65.55.206.154
facebook.com,173.252.110.27
msn.com,65.55.206.228
blogspot.com,74.125.142.191
microsoft.com,65.55.58.201
youtube.com,74.125.225.161
bing.com,204.79.197.200
yahoo.com,98.139.183.24
baidu.com,220.181.111.85
twitter.com,199.59.149.230
adobe.com,192.150.16.117
andysayler.com,198.199.109.206
youku.com,119.167.145.19
sdjjdsaf.com,
wmfo.org,23.92.21.128
mozilla.com,63.245.217.194
ask.com,66.235.120.127
qq.com,163.177.65.160
myspace.com,216.178.46.224
sina.com.cn,202.108.33.60
163.com,123.58.180.8
go.com,68.71.220.3
4399.com,115.182.52.231
orkut.com,74.125.142.85
bbc.co.uk,212.58.244.18
yandex.ru,93.158.134.11
flickr.com,69.147.76.173
cnet.com,64.30.224.118
4shared.com,74.117.178.55
amazon.co.jp,54.240.248.0
linkedin.com,216.52.242.86
imdb.com,72.21.206.80
skype.com,91.190.218.46
taobao.com,110.75.20.163
aol.com,205.188.101.58
soso.com,183.61.32.183
nifty.com,210.131.4.217
imageshack.us,208.94.1.8
cnn.com,157.166.226.26
tianya.cn,124.225.135.222
naver.com,202.131.30.12
goo.ne.jp,218.213.142.230
hotmail.com,65.55.85.12
zynga.com,74.114.13.1
mail.ru,217.69.139.199
mywebsearch.com,74.113.233.48
craigslist.org,208.82.238.129
amazon.com,176.32.98.166
hp.com,15.201.225.10
wordpress.com,76.74.254.126
dailymotion.com,195.8.215.137
ifeng.com,210.51.19.61
walmart.com,161.170.244.20
ameblo.jp,180.233.142.129
360.cn,220.181.24.100
alipay.com,110.75.143.33
softonic.com,46.28.209.20
partypoker.com,194.150.36.34
apple.com,17.172.224.47
paipai.com,112.90.77.176
yahoo.co.jp,203.216.243.240
hao123.com,180.149.132.19
youdao.com,61.135.218.26
ebay.de,66.135.200.23
soku.com,61.135.196.23
weather.com,96.8.82.132
renren.com,220.181.181.222
alibaba.com,205.204.96.36
pconline.com.cn,219.136.245.40
sohu.com,123.125.116.19
kugou.com,183.61.119.254
tudou.com,123.126.98.173
windows.com,64.4.11.37
livedoor.jp,125.6.149.67
pps.tv,58.83.190.154
ebay.com,66.135.205.13
hotfile.com,199.7.177.216
blogger.com,74.125.142.191
rapidshare.com,154.46.193.3
answers.com,67.196.156.65
xunlei.com,58.251.57.175
photobucket.com,209.17.80.100
56.com,59.32.213.232
paypal.com,66.211.169.3
fc2.com,54.241.180.47
jp.msn.com,207.46.68.62
qiyi.com,202.108.14.16
mediafire.com,205.196.120.13
vkontakte.ru,87.240.156.164
rakuten.co.jp,202.72.51.22
ku6.com,122.11.45.243
daum.net,61.111.62.173
about.com,207.241.148.80
odnoklassniki.ru,217.20.147.94
seesaa.net,59.106.28.139
ehow.com,98.124.247.46
orkut.com.br,74.125.142.85
tmall.com,110.75.20.163
sogou.com,218.30.103.111
2345.com,42.62.4.52
7k7k.com,115.182.59.33
